MES,IMPORTE_ADJUDICACION_IVA_INC
2025-07,6283.76
2025-08,886.07
2025-09,8815.78
2025-10,14035.193333333335
2025-11,7187.4154761904765
2025-12,6413.176582278481
2026-01,5826.67024590164
2026-02,6800.710285714286
2026-03,7870.9374320241695
