MES,IMPORTE_ADJUDICACION_IVA_INC
2025-07,6283.76
2025-08,886.07
2025-09,8815.78
2025-10,42105.58
2025-11,301871.45
2025-12,1013281.9
2026-01,710853.77
2026-02,2142223.74
2026-03,2605280.29
